loan_id,balance,pd,lgd
INV_017_bad_lgd,45832.57,0.0271,1.0699
L017_00_mid,289275.17,0.1641,0.622
INV_017_neg_bal,-42917.06,0.0189,0.5743
L017_01_high,570640.85,0.3741,0.5511
L017_04_low,379337.18,0.076,0.4132
L017_02_low,172053.62,0.0367,0.6151
L017_00_low,72375.67,0.0376,0.3719
L017_00_high,331777.03,0.2972,0.4412
L017_01_low,91681.47,0.0358,0.6869
L017_03_low,235454.71,0.0572,0.5065
L017_02_high,360657.4,0.3816,0.7755
L017_05_low,373847.67,0.0553,0.613
INV_017_bad_pd,59001.93,1.4891,0.4435
L017_02_mid,597637.88,0.0939,0.3526
L017_01_mid,87672.04,0.0854,0.2242
