loan_id,balance,pd,lgd
INV_009_bad_lgd,51853.06,0.0331,1.1908
L009_04_low,36834.4,0.0335,0.6414
L009_01_low,514999.81,0.0767,0.4724
L009_00_high,49165.09,0.2948,0.3376
L009_02_mid,248531.75,0.1477,0.2176
INV_009_neg_bal,-42122.21,0.0659,0.3954
L009_02_high,456165.7,0.408,0.364
L009_03_mid,392794.8,0.0963,0.5001
L009_02_low,453559.09,0.0482,0.5921
INV_009_bad_pd,52620.5,1.0661,0.6791
L009_00_mid,254503.67,0.0998,0.5038
L009_00_low,23419.73,0.0346,0.6898
L009_01_mid,94024.12,0.1547,0.2175
L009_01_high,209570.57,0.3903,0.4464
L009_03_low,147912.44,0.0254,0.4833
