loan_id,balance,pd,lgd
INV_012_bad_pd,39008.94,1.1327,0.3365
L012_00_low,569602.32,0.0245,0.3372
INV_012_null_pd,36891.26,,0.4078
L012_03_low,364410.49,0.0304,0.3505
L012_05_low,418683.25,0.0747,0.7121
L012_01_high,116235.22,0.2769,0.6868
L012_00_high,546878.64,0.4067,0.2464
L012_02_low,63537.62,0.0102,0.4928
INV_012_neg_bal,-4941.65,0.0136,0.4728
L012_04_low,430034.38,0.0592,0.4951
L012_00_mid,266580.6,0.1453,0.621
L012_01_low,403048.32,0.021,0.313
INV_012_zero_bal,0.0,0.0956,0.6998
INV_012_bad_lgd,96572.0,0.0852,1.2918
L012_06_low,382533.64,0.0563,0.8069
