loan_id,balance,pd,lgd
L018_02_low,522539.78,0.0192,0.4329
L018_01_low,333324.96,0.0659,0.2715
L018_05_low,85916.6,0.0144,0.4914
INV_018_null_pd,43096.77,,0.4595
INV_018_neg_bal,-25772.0,0.0487,0.6172
INV_018_bad_lgd,59620.17,0.0879,1.2207
L018_00_low,180819.41,0.0789,0.8419
L018_03_low,477290.29,0.0512,0.2103
L018_00_mid,511433.16,0.1312,0.2702
L018_08_low,547075.98,0.0561,0.3961
INV_018_bad_pd,20297.27,1.3308,0.6511
L018_00_high,433192.76,0.3109,0.7845
INV_018_zero_bal,0.0,0.0899,0.4655
L018_04_low,173913.15,0.0189,0.4736
L018_07_low,148498.86,0.0531,0.6727
L018_09_low,393137.6,0.0122,0.8491
L018_06_low,229982.6,0.0516,0.4938
