loan_id,balance,pd,lgd
L005_01_mid,493920.4,0.1159,0.6312
L005_02_low,62075.01,0.0421,0.849
L005_03_low,597735.94,0.0151,0.3386
L005_01_high,82080.87,0.3383,0.377
L005_00_high,564579.4,0.2336,0.275
L005_00_low,158437.85,0.0377,0.6366
L005_00_mid,592595.18,0.1585,0.2051
INV_005_bad_pd,40020.09,1.0741,0.6919
INV_005_neg_bal,-32079.94,0.0846,0.3176
L005_06_low,503572.07,0.0592,0.5976
L005_04_low,173816.24,0.0753,0.7726
L005_05_low,529976.74,0.0359,0.3025
L005_01_low,193998.31,0.0321,0.6887
