loan_id,balance,pd,lgd
L019_08_low,494687.58,0.053,0.6178
L019_00_high,199211.12,0.285,0.204
L019_02_low,455164.87,0.0708,0.6687
INV_019_neg_bal,-21571.79,0.0407,0.448
INV_019_bad_pd,74943.64,1.3906,0.527
L019_06_low,233185.41,0.0634,0.5732
L019_07_low,488188.4,0.0692,0.8335
L019_09_low,35227.22,0.075,0.7391
INV_019_null_pd,20884.11,,0.5648
L019_00_mid,175119.68,0.1016,0.6568
L019_03_low,581671.2,0.052,0.4286
L019_01_low,90894.15,0.0348,0.6325
L019_04_low,355192.74,0.0249,0.6269
L019_00_low,360149.75,0.0493,0.4143
L019_05_low,150062.02,0.0176,0.7495
INV_019_bad_lgd,17646.13,0.0147,1.0871
INV_019_zero_bal,0.0,0.0656,0.5696
