loan_id,balance,pd,lgd
L010_05_low,176647.79,0.0666,0.5498
L010_08_low,70264.48,0.0717,0.3585
INV_010_bad_pd,18374.8,1.1186,0.5767
L010_03_low,388639.36,0.068,0.6598
L010_04_low,272582.54,0.0614,0.8276
L010_00_mid,143029.51,0.1757,0.4212
INV_010_zero_bal,0.0,0.0578,0.4702
L010_02_low,496951.93,0.0174,0.8245
L010_09_low,289530.91,0.0527,0.4463
L010_01_low,313457.26,0.0339,0.7522
INV_010_neg_bal,-32649.24,0.0542,0.6172
L010_06_low,300428.55,0.0405,0.6752
L010_10_low,36646.0,0.0696,0.3182
INV_010_null_pd,39837.42,,0.4323
L010_07_low,175669.41,0.0696,0.74
L010_00_low,221378.18,0.04,0.4409
INV_010_bad_lgd,37558.54,0.0623,1.2419
