loan_id,balance,pd,lgd
INV_014_bad_lgd,46898.08,0.0689,1.0856
L014_01_low,180223.49,0.0653,0.4697
L014_00_low,314779.72,0.0716,0.7616
L014_04_low,599363.35,0.0443,0.2966
L014_02_mid,155466.22,0.1731,0.2284
INV_014_neg_bal,-43615.32,0.0887,0.4761
L014_00_mid,335189.44,0.1346,0.4092
INV_014_zero_bal,0.0,0.0523,0.6877
L014_03_low,184046.61,0.0309,0.5815
L014_01_mid,129418.38,0.1637,0.5717
L014_05_low,332376.74,0.0342,0.5587
L014_02_low,561864.07,0.0455,0.7334
INV_014_bad_pd,57335.6,1.2339,0.589
