loan_id,balance,pd,lgd
L003_00_mid,150324.46,0.1206,0.5824
L003_03_low,295663.78,0.0485,0.3723
INV_003_neg_bal,-10330.09,0.0187,0.4724
L003_04_low,526011.16,0.0396,0.3377
L003_01_high,518588.53,0.2177,0.3547
L003_00_high,386039.72,0.2572,0.7885
INV_003_bad_pd,48122.08,1.2388,0.5916
L003_07_low,274098.05,0.0462,0.2787
L003_01_low,69679.0,0.044,0.245
L003_01_mid,153466.54,0.1064,0.2461
L003_02_low,461149.26,0.0636,0.2835
L003_06_low,200795.45,0.0797,0.6224
INV_003_zero_bal,0.0,0.0462,0.4357
INV_003_null_pd,44466.9,,0.3995
L003_00_low,53596.6,0.0715,0.8155
INV_003_bad_lgd,70602.81,0.0986,1.0582
L003_05_low,332791.73,0.0611,0.3307
