loan_id,balance,pd,lgd
L024_05_low,237449.35,0.012,0.805
INV_024_bad_pd,19977.21,1.4535,0.5387
L024_00_mid,423721.75,0.0967,0.6586
INV_024_bad_lgd,11479.18,0.0564,1.1285
L024_01_low,545077.6,0.0203,0.4844
L024_07_low,99807.76,0.0301,0.7393
L024_04_low,311164.13,0.0265,0.8464
L024_02_low,568919.69,0.0255,0.4932
L024_06_low,506722.25,0.0555,0.7144
L024_03_low,222759.35,0.0119,0.2346
INV_024_neg_bal,-21571.45,0.0815,0.4828
L024_00_high,280188.85,0.2013,0.2515
L024_00_low,185336.55,0.0634,0.3773
L024_01_high,168435.88,0.4087,0.5567
