loan_id,balance,pd,lgd
L008_01_mid,289493.08,0.1437,0.5633
INV_008_neg_bal,-38524.87,0.0569,0.5507
L008_03_low,471483.84,0.0253,0.7227
INV_008_bad_pd,34713.77,1.048,0.4143
INV_008_zero_bal,0.0,0.0225,0.3925
L008_02_low,537742.7,0.0702,0.7756
L008_04_low,423628.83,0.0425,0.5623
L008_02_mid,204032.82,0.1706,0.4877
L008_00_high,492703.77,0.423,0.4774
L008_00_mid,552132.61,0.0946,0.2867
INV_008_bad_lgd,34454.36,0.0388,1.2747
L008_01_low,251798.66,0.0203,0.647
L008_00_low,353889.12,0.0603,0.4496
