loan_id,balance,pd,lgd
L001_08_low,79281.96,0.0366,0.4333
L001_01_low,79447.2,0.0618,0.5545
INV_001_zero_bal,0.0,0.0732,0.5734
L001_03_low,154943.32,0.0521,0.5648
L001_07_low,181165.38,0.0251,0.6963
INV_001_bad_lgd,24638.87,0.042,1.3384
L001_00_mid,286466.43,0.095,0.7995
INV_001_bad_pd,44211.36,1.2322,0.6336
L001_00_low,450099.29,0.0271,0.2907
L001_09_low,219494.32,0.0285,0.2282
L001_05_low,280541.25,0.0295,0.765
L001_02_low,362485.66,0.0122,0.2609
L001_06_low,460108.27,0.0212,0.4747
INV_001_neg_bal,-49275.85,0.087,0.6466
L001_04_low,435291.38,0.0591,0.4727
